Word,xʃxƨſ ,Type,Meaning,Noun,Verb,Modifier,Origin,IPA,Family,Tokima Word,Relabel v1 Word,Rev_Type,pre-h/c,T,R,Antonym,Antonym wrong?
sito,ɤıʌʃ,Noun,bread/grain,bread/cereal product,to be bread/a cereal product,bread/cereal-related,Ancient Greek σῖτος sîtos,/ˈsi.tos/,Hellenic,pan,pan,Noun,-,X,X,,.
so,ɤʃ,Grammar,in contrast/comparison to; comparison marker,-,-,-,Vietnamese so,[ʂɔ˧˧]/[sɔ˧˧],Austro-Asiatic,su,su,Preposition,-,X,X,,.
solu,ɤʃʋſ,Verb,to ask (a question),a question/query,to ask,question-like/askable,Turkish soru,/ˈsɔː.ru/,Turkic,solu,solu,Verb,-,.,.,cawapu,.
sone,ɤʃƨȷ,Modifier,different,difference,to be different,different,Hebrew שׁוֹנֶה shoné,,Afroasiatic,ante,akala,ModifierG,-,X,X,saman,.
sopa,ɤʃʜ,Noun,side/beside,side/beside(/vicinity/proximity?),to be the side/beside,side-related,Japanese 側 soba,[so̞ba̠],Japonic,poka,pase,Noun,-,X,X,,.
soto,ɤʃʌʃ,Noun,sort/type,sort/type/category,to be a sort/type/category,sort/type/category-related,French sorte,/sɔʁt/,Romance,kalite,kalite,Noun,-,X,X,,.
suki,ɤſxı,Verb,to like (a preference),a preference/liked thing,to like,preference-like/likable,Japanese 好き suki,[sɯᵝ˦.ki˨],Japonic,-,-,Verb,-,X,X,,.
sula,ɤſʋ,Modifier,easy,easiness/simplicity,to be easy,easy/simple,Hindi सुलभ sulabh,[s̪ʊ.l̪əbʱ],Indo-Iranian,patila,patila,ModifierO,-,X,X,katin,.
sun,ɤ̄ſ,Preposition,from,-,-,-,Wu 從 zon,/z̥ʊŋ²³/,Sino-Tibetan,tan,tan,Preposition,-,X,X,ki,.
sunaja,ɤſƨɂ,Modifier,purple,purpleness,to be purple,purple,Hausa shunayya,,Afroasiatic,-,-,ModifierG,-,X,X,,.
sunkan,ɤ̄ſx̄,Modifier,instantaneous,instantaneousness/instant/second (unit),to be instantaneous,instantaneous,Min Nan 瞬間 sùn-kan,/suŋ²¹³⁻⁵⁵ kaŋ³³/,Sino-Tibetan,penke,penke,ModifierG,-,X,X,,.
suwina,ɤſɕıƨ,Noun,pig,pig/swine,to be a pig/swine,pig/swine-related,Serbo-Croatian svínja,/sʋǐːɲa/,Balto-Slavic,soweli,soweli,Noun,-,X,X,,.
ta,ʌ,Grammar,relative clause marker,-,-,-,-,-,Misc,te,ta,Grammar,-,X,.,,.
tajali,ʌɂʋı,Modifier,ready/prepared,readiness/preparedness,to be ready/prepared,ready/prepared,Swahili tayari,,Niger-Congo,komumo,komumo,Modifier>,-,X,X,wi no tajali,.
tajen,ʌɂ̄ȷ,Verb,to hate (a hated entity),a hated thing,to hate/dislike,hatable/dislikable,Mandarin 討厭 tǎoyàn,/tʰɑʊ̯²¹⁴⁻²¹ jɛn⁵¹/,Sino-Tibetan,-,-,Verb,-,X,X,amo,.
takaha,ʌxɵ,Modifier,violent,violence,to be violent,violent,Māori taikaha,,Austronesian,utala,atake,ModifierG,taka,X,X,,.
takilo,ʌxıʋʃ,Noun,cone,cone,to be a cone,cone-related,Tagalog tagilog,[tɐ.ɣɪˈloɡ],Austronesian,popoto,popoto,Noun,-,X,X,,.
talika,ʌʋıx,Noun,method,method/system/way,to be a method/system/way,method/system/way-related,Arabic طَرِيقَة ṭarīqa,/tˤa.riː.qa/,Afroasiatic,tisi,tisi,Noun,-,X,X,,.
talili,ʌʋıʋı,Noun,finger/toe,finger/toe/digit,to be a finger/toe/digit,finger/toe/digit-related,Tagalog daliri,[dɐˈli.ɾɪʔ],Austronesian,talili,talili,Noun,-,.,.,,.
talun,ʌʋ̄ſ,Modifier,young,youngness/youthfulness,to be young,young,Marathi तरुण taruṇ,[t̪ə.ɾuːɳ],Indo-Iranian,-,-,Modifier0,-,X,X,cune,.
tamaka,ʌɞx,Noun,explosion/blast,explosion/blast,to be an explosion/blast,explosion/blast-related,Urdu دَھماکَہ dhamākah,/d̪ʱə.mɑː.kɑ(ːɦ)/,Indo-Iranian,-,-,Noun,-,X,X,,.
tamin,ʌɞ̄ı,Verb,to predict/guess (a prediction/guess),a prediction/guess,to predict/guess,prediction-like/guess-like,Turkish tahmin,/tahˈmin/,Turkic,unpa,unpa,Modifier>,-,X,X,,.
tan,ʌ̄,Connector,then,-,-,-,Dutch dan,/dɑn/,Germanic,-,-,Connector,-,X,X,,.
tapala,ʌʜʋ,Noun,shelf/plate,shelf/plate,to be a shelf/plate,shelf/plate-related,Switzerland French tablard,/ta.blaʁ/,Romance,supa,tapele,Noun,-,X,X,,.
tason,ʌɤ̄ʃ,Verb,to intend/plan/design (an intention/plan/design),intention/plan/design,to intend/plan/design,intention-like/plan-like/design-like/plannable/designable,Hakka 打算 tá-son,/ta³¹ son⁵⁵/,Sino-Tibetan,unpa,unpa,Modifier>,-,X,X,,.
tasuwi,ʌɤſɕı,Verb,to draw (a picture),a drawing/picture,to draw,drawing-like/drawable,Arabic تَصْوِير taṣwīr,/tasˤ.wiːr/,Afroasiatic,sitelen,tasawi,Verb,-,X,X,,.
tati,ʌʌı,Modifier,tight/firm,tightness/firmness,to be tight/firm,tight/firm,English tight,/taɪt/,Germanic,tepaka,tepaka,Modifier>,-,X,X,satilu,.
tawawa,ʌɕɕ,Modifier,turning/spinning/rotating,spin/rotation,to be turning/spinning/rotating,turning/spinning/rotating,Pashto تاوول tâwawël,/tɑwaˈwəl/,Indo-Iranian,unpa,unpa,Modifier>,-,X,X,patun,.
tawe,ʌɕȷ,Noun,hair/fur/plumage,hair/fur/plumage,to be hair/fur/plumage,hair/fur/plumage-related,Guaraní tague,/ta.ˈɰʷe/,Tupian,jun,jun,Noun,-,X,X,,.
te,ʌȷ,Grammar,relative clause verb marker,-,-,-,-,-,Misc,te,ti,Grammar,-,.,X,,.
teka,ʌȷx,Verb,to see (a view),a sight/view,to see/look at,view-like/visible,Hindi देखा dekhā (perfective of देखना dekhnā),[d̪eːkʰäː],Indo-Iranian,lukin,si,Verb,-,X,X,,.
ten,ʌ̄ȷ,Noun,time,time,to be a time,time-related,Catalan temps,/ˈtems/,Romance,tenpo,tenpo,Noun,-,X,X,jan,.
tene,ʌȷƨȷ,Verb,to give (a gift),a gift,to give,gift-like/givable,Marathi देणे deṇe,,Indo-Iranian,pana,kupa,Verb,-,X,X,alu,.
teneme,ʌȷƨȷɞȷ,Verb,to try (a trial),a trial/test,to try/attempt,trial-like/test-like/triable/testable/attemptable,Turkish denemek,/de.ne.ˈmec/,Turkic,kokan,kokan,Verb,-,X,X,,.
tenja,ʌ̄ȷɂ,Modifier,thick,thickness,to be thick,thick,Sesotho tenya,,Niger-Congo,epi,epi,Modifier>,-,X,X,cenci,.
tepu,ʌȷʜſ,Modifier,starting; inceptive aspect modifier,startingness/start,to be starting,starting,French début,"/de.by/",Romance,open,initu,ModifierG,-,X,X,,.
tijante,ʌıɂ̄ʌȷ,Verb,to focus [on]/pay attention [to] (a focus),a focus/topic/center of attention,to focus [on]/pay attention [to],focus-like/topic-like/focus-on-able,Hindi ध्यान दे dhyān de,/d̪ʱjɑːn/+/d̪eː/,Indo-Iranian,tijan,tijan,Verb,-,X,X,,.
tiju,ʌıɂſ,Quantity,ten,ten,to be ten,tenth,Swedish tio, /ˈtiːˌʊ/,Germanic,ten,ten,Quantity,-,X,X,,.
tiku,ʌıxſ,Modifier,dead,deadness/death,to be dead,dead,Yoruba ti kú,/tī/+/kú/,Niger-Congo,moli,oku,Modifier0,-,X,X,haja,.
