Word,xʃxƨſ ,Type,Meaning,Noun,Verb,Modifier,Origin,IPA,Family,Tokima Word,Relabel v1 Word,Rev_Type,pre-h/c,T,R,Antonym,Antonym wrong?
cune,ɛſƨȷ,Modifier,old,oldness/age,to be old,old,Marathi जुने j̈une,,Indo-Iranian,pulono,pulono,ModifierG>,tune,X,X,neso/talun,.
cunpu,ɛ̄ſʜſ,Modifier,repeating; frequentative aspect modifier,repetitiveness/repetition/cycle,to be repeating/repetitive,repeating/repetitive,Mandarin 重複 chóngfù,/ʈ͡ʂʰʊŋ³⁵ fu⁵¹/,Sino-Tibetan,taka,taka,Modifier>,tunpu,X,X,luka,.
cuwi,ɛſɕı,Noun,rodent,mouse/rat/rodent,to be a mouse/rat/rodent,mouse/rat/rodent-related,Korean 쥐 jwi,[t͡ɕɥi],Koreic,misa,misa,Noun,tuwi,X,X,,.
eme,oȷɞȷ,Modifier,vague/imprecise,vagueness/imprecision,to be vague/imprecise,vague/imprecise,from Wu 曖昧 e-me,/e̞³³ me̞⁴⁴/,Sino-Tibetan,-,-,Modifier0,-,X,X,cimi,.
enteken,ōȷʌȷx̄ȷ,Noun,outside,outside region,to be the outside region,outside-related/outer,Western Dani endekem,,Trans-New Guinea,nesi,nesi,Noun,-,X,X,limijen,.
etu,oȷʌſ,Quantity,eight,eight,to be eight,eighth,Tamil எட்டு eṭṭu,[eʈːɯ],Dravidian,oto,oto,Quantity,-,X,X,,.
ewin,oȷɕ̄ı,Noun,claw,claw/nail/hoof,to be a claw/nail/hoof,claw/nail/hoof-related,Welsh ewin,/ˈɛu̯.ɪn/,Celtic,ewin,ewin,Noun,-,.,.,,.
ha,ɵ,Quantity,two,two,to be two,second (ordinal),Vietnamese hai,[haːj˧˧],Austro-Asiatic,tu,tuwo,Quantity,-,X,X,,.
haja,ɵɂ,Modifier,alive,aliveness/life,to be alive/living,alive/living,Arabic حياة ḥayāh,/ħa.jaːh/,Afroasiatic,aja,aja,Modifier>,aja,X,X,tiku,.
hakiki,ɵxıxı,Modifier,authentic,authenticity/truth,to be authentic/true,authentic/true,Arabic حَقِيقِيّ ḥaqīqiyy,,Afroasiatic,lon,ese,ModifierG,akiki,X,X,kate/pasu,.
hakoli,ɵxʃʋı,Noun,tooth,tooth,to be a tooth,tooth-related/dental,Hausa haƙōrī,/há.kʼóː.ɽíː/,Afroasiatic,tanta,tanta,Noun,akoli,X,X,,.
haluko,ɵʋſxʃ,Modifier,lightweight,lightness (weight-wise),to be light(weight),light(weight),Nepali हलुको haluko,[ɦʌluko],Indo-Iranian,mawon,mawon,Modifier0,aluko,X,X,puka,.
han,ɵ̄,Verb,to have (a possession),a possession/owned thing,to have/own/possess,possession-like/ownable,Central Franconian han,[ɦɑn],Germanic,jo,jo,Verb,-,X,X,,.
hapijo,ɵʜıɂʃ,Verb,to announce (an announcement),an announcement/decleration,to announce,announcement-like/announcable,Japanese 発表 happyō,[ha̠p̚ʲpʲo̞ː],Japonic,lajo,lajo,Verb,apijo,X,X,,.
haso,ɵɤʃ,Modifier,chaotic,chaoticness/chaos,to be chaotic,chaotic,Greek χάος cháos,/ˈxa.os/,Hellenic,-,-,ModifierC,kaso,X,X,onin,.
he,ɵȷ,Preposition,vocative marker,-,-,-,English hey,/heɪ/,Germanic,-,-,Preposition,e,X,X,,.
hela,ɵȷʋ,Modifier,sacred,sacredness/holiness,to be sacred,sacred,Dutch heilig,/ˈɦɛi̯.ləx/,Germanic,sewi,alike,Modifier>,ela,X,X,wi no hela,.
henelo,ɵȷƨȷʋʃ,Noun,gender,gender,to be a gender,gender-related,Spanish género,[ˈxe.ne.ɾo],Romance,-,-,Noun,kenelo,X,X,,.
hinpan,ɵ̄ıʜ̄,Modifier,excited,excitement,to be excited,excited,Cantonese 興奮 hing fan,/hɪŋ⁵⁵ fɐn¹³/,Sino-Tibetan,tutu,tutu,ModifierG,-,X,X,,.
hon,ɵ̄ʃ,Preposition,context marker (as for/given),-,-,-,-,-,Misc,la,imo/omi,Preposition,-,X,X,,.
honja,ɵ̄ʃɂ,Noun,wilderness,wilderness,to be the wilderness,wild,Min Nan 荒野 hong-iá,/hɔŋ⁴⁴⁻²² ia⁵³/,Sino-Tibetan,jesen,jesen,Noun,onja,X,X,sinsi,.
hoton,ɵʃʌ̄ʃ,Noun,mammal,mammal,to be a mammal,mammal-related,Mongolian хөхтөн xöxtön,,Mongolic,soweli,latan,Noun,koton,X,X,,.
hu,ɵſ,Grammar,indicative/stative clause ender,-,-,-,-,-,Misc,-,-,Particle,-,X,X,,.
hukun,ɵſx̄ſ,Verb,to order (a command),an order/command,to order/command,order-like/command-like/orderable/commandable,Arabic حُكْم ḥukm,,Afroasiatic,ukumu,ukumu,Verb,ukun,X,X,,.
hunsi,ɵ̄ſɤı,Modifier,red,redness,to be red,red,Cantonese 紅色 hung sik,/hʊŋ²¹ sɪk̚⁵/,Sino-Tibetan,loje,onse,ModifierG,unsi,X,X,,.
husu,ɵſɤſ,Verb,to be about (a theme),a theme,to be about/concern/regard,theme-like/be-about-able,Swahili -husu,,Niger-Congo,-,-,Verb,-,X,X,,.
huwa,ɵſɕ,Noun,seed/grain/egg,seed/grain/egg,to be a seed/grain/egg,seed/grain/egg-related,Hawaiian hua,[ˈhuə],Austronesian,-,-,Noun,wa,X,X,,.
huwonho,ɵſɕ̄ʃɵʃ,Modifier,mixed,mixedness/heterogeneity/unsortedness,to be mixed/heterogenous/unsorted,mixed/heterogenous/unsorted,Mandarin 混合 hùnhé,/xu̯ən⁵¹ xɤ³⁵/,Sino-Tibetan,unja,unja,ModifierC,kuwanko,X,X,napa,.
ihamo,oıɵɞʃ,Modifier,constrained/restricted,constraint/restrictedness,to be constrained/restricted,constrained/restricted,Yoruba ihamọ,,Niger-Congo,-,-,Modifier0,-,X,X,laha,.
ikama,oıxɞ,Verb,to be called/named (a name/word/address),name/word/address,to be called/named,name/word/address-related,Zulu igama,/îːɡâːma/,Niger-Congo,nimi,nama,Verb,-,X,X,,.
ikasi,oıxɤı,Verb,to learn/study (a lesson),lesson,to learn/study,lesson-like/learnable/studyable,Basque ikasi,[i.ka.s̺i],Basque,-,-,Verb,-,X,X,,.
ili,oıʋı,Connector,or,-,-,-,Russian и́ли íli,[ˈilʲɪ],Balto-Slavic,anu,ili,Connector,-,X,.,,.
iman,oıɞ̄,Verb,to trust (a belief),a belief,to trust/believe,belief-like/believable,Arabic إيمان ʾīmān,/ʔiː.maːn/,Afroasiatic,iman,iman,Verb,-,.,.,,.
in,ōı,Preposition,direct object marker,-,-,-,-,-,Misc,e,i,Preposition,-,X,X,men,.
inalo,oıƨʋʃ,Modifier,vertical,verticalness,to be vertical,vertical,Yoruba inaro,,Niger-Congo,-,-,Modifier>,-,X,X,opoki,.
inkatan,ōıxʌ̄,Verb,to remember (a memory),a memory,to remember/recall,memory-like/rememberable,Malay ingatan,,Austronesian,inkatan,inkatan,Verb,-,.,.,,.
inpali,ōıʜʋı,Noun,flower,flower,to be a flower,flower-related,Zulu ímbali,/ímbaːli/,Niger-Congo,inpali,inpali,Noun,-,.,.,,.
insu,ōıɤſ,Noun,building,building,to be a building,building-related,Xhosa indlu,/íːnɮu/,Niger-Congo,tomo,inlu,Noun,-,X,X,,.
ipinto,oıʜ̄ıʌʃ,Verb,to tie/knot (a knot),knot,to tie/knot,knot-like/tieable/knotable,Zulu ifindo,,Niger-Congo,-,-,Verb,-,X,X,,.
ipuwe,oıʜſɕȷ,Noun,stone,stone/rock,to be a stone/rock,stone/rock-related,Shona ibwe,,Niger-Congo,kiwen,kaju,Noun,-,X,X,,.
iwe,oıɕȷ,Verb,to imply (an implication),an implication,to imply/mean,implication-like/impliable,Mandarin 意味 yìwèi,/i⁵¹⁻⁵³ weɪ̯⁵¹/,Sino-Tibetan,-,-,Verb,-,X,X,,.
ja,ɂ,Pronoun,they/them,they,to be them,their,Hawaiian ia,,Austronesian,on,olu,Pronoun,-,X,X,,.
jamin,ɂɞ̄ı,Noun,right,right (side),to be the right (side),rightside-related/right(hand),Arabic يَمِين yamīn,/ja.miːn/,Afroasiatic,jupa,jupa,Noun,-,X,X,pajan,.
jan,ɂ̄,Noun,place,place/location,to be a place/location,place/location-related,Ilocano yan,,Austronesian,into,into,Noun,-,X,X,ten,.
janlu,ɂ̄ʋſ,Modifier,wrong,wrongness/incorrectness/unfairness,to be wrong/incorrect/unfair,wrong/incorrect/unfair,Azerbaijani yanlış,[jɑnˈɫɯʃ],Turkic,isala,isala,Modifier-,-,X,X,tuntan,.
jatan,ɂʌ̄,Verb,to find (a discovery),a find/discovery,to find/discover,discovery-like/discoverable,Persian یافتن yâftan,/jɒːfˈtæn/,Indo-Iranian,alasa,topo,Verb,-,X,X,,.
jati,ɂʌı,Quantity,some,some,to be some,somewhat,Cantonese 有啲 jau di,/jɐu̯¹³ tiː⁵⁵/,Sino-Tibetan,tote,tote,Quantity,-,X,X,lan,.
je,ɂȷ,Grammar,of/related to; relation marker,-,-,-,Persian ی -ye,[je],Indo-Iranian,pi,je,Grammar,-,X,.,,.
joli,ɂʃʋı,Modifier,beneficial,beneficialness/advantageousness/benefit,to be beneficial/advantageous,beneficial/advantageous,Mandarin 有利 yǒulì,/joʊ̯²¹⁴⁻²¹ li⁵¹/,Sino-Tibetan,ajuta,ajuta,Modifier+,-,X,X,juka,.
jon,ɂ̄ʃ,Verb,to use (a tool),a tool,to use,tool-like/usable,Min Nan 用 iōng,/iɔŋ⁴¹/,Sino-Tibetan,ilo,uta,Verb,-,X,X,,.
jone,ɂʃƨȷ,Noun,caprine,goat/sheep/caprine,to be a goat/sheep/caprine,goat/sheep/caprine-related,Hakka 羊仔 iòng-é,/iɔŋ¹¹ ŋe³¹/,Sino-Tibetan,soweli,latan,Noun,-,X,X,,.
ju,ɂſ,Verb,to want (a desire),a desire,to want/desire,desire-like/desirable,Cantonese 要 jiu,/jiːu̯⁵⁵/,Sino-Tibetan,wile,jani,Verb,-,X,X,,.
juka,ɂſx,Modifier,hindering/detrimental,hindrance/detrimentality/detriment,to be hindering/detrimental,hindering/detrimental,Japanese 有害 yūgai,[jɯ̟ᵝːɡa̠i],Japonic,-,-,Modifier-,-,X,X,joli,.
ka,x,Grammar,interrogative clause particle,-,-,-,Japanese か ka,[ka̠],Japonic,-,-,Particle,-,X,X,,.
kaki,xxı,Noun,electricity,electricity,to be electricity,electric,K'iche' q'aq'il,,Mayan,minsu,minsu,Noun,-,X,X,,.
kalan,xʋ̄,Verb,to respect (a respected entity),a respected thing,to respect,respectable,Kapampangan gálang,[ˈɡäː.ləŋ],Austronesian,atali,atali,Verb,-,X,X,,.
kalawa,xʋɕ,Noun,art,art,to be art,art-related/artistic,Sinhalese කලාව kalāwa,,Indo-Iranian,musi,nisu,Noun,-,X,X,,.
kali,xʋı,Noun,down,bottom/below region,to be the bottom/below region,bottom-related/below/down,Marathi खाली khālī,,Indo-Iranian,anpa,sija,Noun,-,X,X,malo,.
kan,x̄,Preposition,alongside/with,-,-,-,Mandarin 跟 gēn,/kən⁵⁵/,Sino-Tibetan,kan,kon,Preposition,-,.,X,,.
kanisa,xƨıɤ,Verb,to think (a thought/opinion),a thought/opinion,to think,thought-like/opinion-like/thinkable,Chichewa -ganiza,/ɡaˈni.za/,Niger-Congo,tana,tana,Verb,-,X,X,,.
kanta,x̄ʌ,Verb,to sing/play (music),a song/music,to sing/play (instrument-wise),song-like/singable/playable (instrument-wise),Spanish cantar,[kãn̪ˈt̪aɾ],Romance,kanti,kanti,Verb,-,X,X,,.
kapan,xʜ̄,Modifier,disgusted,disgust,to be disgusted,disgusted,Arabic قَرْفَان‎ qarfān,,Afroasiatic,-,-,ModifierG,-,X,X,,.
kapu,xʜſ,Modifier,broken/dysfunctional,brokenness/dysfunctionality,to be broken/dysfunctional,broken/dysfunctional,German kaputt,/kaˈpʊt/,Germanic,pakala,tuta,ModifierG,-,X,X,tomiwa,.
kate,xʌȷ,Modifier,hypothetical,hypotheticality,to be hypothetical,hypothetical,Japanese 仮定 katei,[ka̠te̞ː],Japonic,-,-,ModifierG,-,X,X,hakiki,.
katin,xʌ̄ı,Modifier,difficult,difficulty/complexity,to be difficult,difficult,Hindi कठिन kaṭhin,[kə.ʈʰɪ̃n̪],Indo-Iranian,jatila,jatila,ModifierC,-,X,X,sula,.
kawa,xɕ,Modifier,dirty,dirtiness/pollution/soiledness,to be dirty/polluted/soiled,dirty/polluted/soiled,Khmer កខ្វក់ kɑkvɑk,/kɑʔ.ˈʋɑʔ/,Austro-Asiatic,jaki,jaki,ModifierC,-,X,X,naki,.
kela,xȷʋ,Verb,to play (a game),a game,to play (game-wise),game-like/playable,Assamese খেলা khela,/kʰɛ.la/,Indo-Iranian,kela,kela,Verb,-,.,.,,.
kemika,xȷɞıx,Noun,chemical,chemical,to be a chemical,chemical-related,English chemical,/ˈkɛmɪkəl/,Germanic,-,-,Noun,-,X,X,,.
kenca,x̄ȷɛ,Modifier,current; present tense modifier,currentness/present,to be current,current/present (time-wise),Japanese 現在 genzai,[ɡẽ̞nd͡za̠i],Japonic,iputu,iputu,ModifierG,-,X,X,,.
ki,xı,Preposition,towards,-,-,-,Maori ki,,Austronesian,ki,ki,Preposition,-,.,.,sun,.
kijeta,xıɂȷʌ,Modifier,hard,hardness,to be hard (material-wise),hard (material-wise),Lithuanian kietas,[ˈkʲɪ̂ət̪ɐs̪],Balto-Slavic,ulokan,ulokan,Modifier>,-,X,X,nalan,.
kiju,xıɂſ,Noun,ball,ball/sphere,to be a ball/sphere,ball/sphere-related/spherical,Hakka 球 khiu,/kʰi̯u¹¹/,Sino-Tibetan,sike,kulu,Noun,-,X,X,,.
kike,xıxȷ,Modifier,female,femaleness/femininity,to be female/feminine,female/feminine,Swahili kike,,Niger-Congo,meli,sena,ModifierG,-,X,X,maku,.
kikolo,xıxʃʋʃ,Modifier,bitter,bitterness,to be bitter,bitter,Yoruba kikorò,,Niger-Congo,kikolo,kikolo,ModifierG,-,.,.,,.
kikuwa,xıxſɕ,Modifier,strange,strangeness/weirdness/abnormality,to be strange/weird/abnormal,strange/weird/abnormal,Hakka 奇怪 khì-koai,/kʰi¹¹ ku̯ai̯⁵⁵/,Sino-Tibetan,nasa,nasa,ModifierG,-,X,X,satalan,.
kilima,xıʋıɞ,Verb,to climb (a slope),a slope/ramp,to climb,slope-like/ramp-like/climbable,Ancient Greek κλῐ́μᾰ klíma,/ˈkli.ma/,Hellenic,-,-,Verb,-,X,X,,.
kin,x̄ı,Noun,sun/day,sun/day,to be the sun/a day,sun/day-related,Yucatec Maya k'iin,,Mayan,suno,sole,Noun,-,X,X,,.
kisa,xıɤ,Verb,to narrate (a story),a story,to narrate,story-like/narratable,Arabic قِصَّة qiṣṣa,,Afroasiatic,kisa,kisa,Verb,-,.,.,,.
kisowa,xıɤʃɕ,Modifier,crossed/intersected,crossed-ness/intersected-ness/intersection,to be crossed/intersected,crossed/intersected,Polish krzyżować,/kʂɨˈʐɔ.vat͡ɕ/,Balto-Slavic,-,-,ModifierG,-,X,X,panli,.
ko,xʃ,Noun,manifest non-physical thing,state/condition/manifest non-physical thing,to be a state/condition/manifest non-physical thing,state/condition-related,Scottish Gaelic cor,/kʰɔɾ/,Celtic,jala,jala,Noun,-,X,X,,.
koman,xʃɞ̄,Modifier,arriving/entering,arrival/entry,to be arriving/entering,arriving/entering,German kommen,[ˈkɔmən],Germanic,-,-,Modifier+,-,X,X,cuma,.
konco,x̄ʃɛʃ,Noun,job/profession,job/profession,to be a job/profession,job/profession-related,Wu 工作 kon-tsoq,/koŋ⁵⁵ t͡soʔ²¹/,Sino-Tibetan,-,-,Noun,-,X,X,,.
konen,xʃƨ̄ȷ,Modifier,possible/likely,possibility/likeliness,to be possible/likely,possible/likely,Hakka 可能 khó-nèn,/kʰo³¹ nen¹¹/,Sino-Tibetan,munkin,munkin,Modifier>,-,X,X,nepa,.
konje,x̄ʃɂȷ,Modifier,ending; terminative aspect modifier,endingness/end,to be ending,ending,Slovak koniec,[ˈkoɲi̯et͡s],Balto-Slavic,pini,koneku,ModifierG,-,X,X,,.
konkulen,x̄ʃxſʋ̄ȷ,Verb,to compete [against] (a rival),rival/opponent,to compete [against]/rival/oppose,rival-like/opponent-like/opposable,German Konkurrent,,Germanic,-,-,Verb,-,X,X,,.
konpa,x̄ʃʜ,Modifier,shaking,shakiness/tremulousness/vibration,to be shaking/trembling/vibrating/non-traversally moving,shaking/trembling/vibrating/non-traversally moving,Assamese কঁপা kõpa,/kɔ̃pa/,Indo-Iranian,kanpe,kanpe,Modifier>,-,X,X,patun,.
konpute,x̄ʃʜſʌȷ,Noun,computer,computer,to be a computer,computer-related,Northern Kurdish kompûter,,Indo-Iranian,kanputa,kanputa,Noun,-,X,X,,.
kontatu,x̄ʃʌʌſ,Verb,to celebrate (a party),a party,to celebrate,party-like/celebratable,Tamil கொண்டாடு koṇṭāṭu,[koɳɖaːɖɯ],Dravidian,pati,pati,Verb,-,X,X,,.
kosan,xʃɤ̄,Verb,to build (a construction),a construction,to build/construct,construction-like/buildable,Lao ກໍ່ສ້າງ kǭ sāng,,Kra-Dai,-,-,Verb,-,X,X,,.
kosomo,xʃɤʃɞʃ,Noun,space/cosmos,space/cosmos,to be space/the cosmos,space-related/cosmic,Italian cosmo,/ˈkɔ.zmo/,Romance,-,-,Noun,-,X,X,,.
kota,xʃʌ,Verb,to talk (speech),speech,to talk/say,speech-like/speakable/sayable,Bengali কথা kotha,/kɔ.tʰa/,Indo-Iranian,toki,kota,Verb,-,X,.,,.
kujo,xſɂʃ,Modifier,sad,sadness,to be sad,sad,Dholuo kuyo,,Nilo-Saharan,lakima,lakima,ModifierG,-,X,X,,.
kuku,xſxſ,Noun,bird,bird,to be a bird,bird-related,Onomatopoeia,-,Misc,waso,kuku,Noun,-,X,.,,.
kula,xſʋ,Modifier,open,openness,to be open,open,Hindi खुला khulā,[kʰʊ.l̪äː],Indo-Iranian,-,-,Modifier>,-,X,X,panta,.
kumi,xſɞı,Noun,plastic,plastic/rubber,to be (a) plastic/rubber,plastic/rubber-related,German Gummi,/ˈɡʊmi/,Germanic,kumi,kumi,Noun,-,.,.,,.
kumon,xſɞ̄ʃ,Noun,hole,hole/passage,to be a hole/passage,hole/passage-related,Korean 구멍 gumeong,[kumʌ̹ŋ],Koreic,lupa,laka,Noun,-,X,X,,.
kun,x̄ſ,Verb,to perceive (a trait),a quality/aspect/trait,to perceive/sense,quality-like/trait-like/aspect-like/perceivable/sensable,Hindi गुण guṇ,[ɡʊ̃ɳ],Indo-Iranian,-,-,Verb,-,X,X,,.
kusa,xſɤ,Modifier,angry,anger/rage,to be angry,angry,Hindi ग़ुस्सा ġussā,[ɣʊs̪.s̪äː]/[ɡʊs̪.s̪äː],Indo-Iranian,tajan,tajan,ModifierG,-,X,X,,.
kuto,xſʌʃ,Modifier,short,shortness,to be short,short,Ladino kurto,,Romance,tini,tini,Modifier0,-,X,X,lamo,.
kuwan,xſɕ̄,Noun,light,light,to be light,light-related,Mandarin 光 guāng,/ku̯ɑŋ²¹⁴/,Sino-Tibetan,kuwan,kuwan,Noun,-,.,.,,.
kuwekan,xſɕȷx̄,Verb,to cultivate/breed/raise (a crop/livestock),a crop/livestock,to cultivate/breed/raise,crop-like/livestock-like/cultivatable/breedable (agriculturally),Dutch kweken,/ˈkʋeː.kə(n)/,Germanic,-,-,Verb,-,X,X,,.
kuwosi,xſɕʃɤı,Noun,fruit,fruit,to be a fruit,fruit-related,Mandarin 果實 guǒshí,/ku̯ɔ²¹⁴⁻²¹ ʂʐ̩³⁵/,Sino-Tibetan,kili,kosi,Noun,-,X,X,,.
la,ʋ,Grammar,emphatic clause ender,-,-,-,Malay lah,/lah/,Austronesian,a,a,Grammar,-,X,X,,.
lacito,ʋɛıʌʃ,Noun,heart,heart,to be a heart,heart-related,Isthmus Zapotec ladxidó',,Oto-Manguean,-,-,Noun,latito,X,X,,.
laha,ʋɵ,Modifier,free/unrestricted,freeness/freedom/unrestrictedness,to be free/unrestricted,free/unrestricted,Persian رها rahâ,,Indo-Iranian,-,-,Modifier>,-,X,X,ihamo,.
laki,ʋxı,Noun,line,line/edge,to be a line/edge,line/edge-related,Hindi लकीर lakīr,[l̪ə.kiːɾ],Indo-Iranian,linja,laki,Noun,-,X,.,,.
lamo,ʋɞʃ,Modifier,long,longness/length,to be long,long,Nepali लामो lāmo,[lämo],Indo-Iranian,lamo,lamo,Modifier>,-,.,.,kuto,.
lan,ʋ̄,Quantity,many/a lot,many/a lot,to be many/a lot,very,Vietnamese lắm,[lam˦˥],Austro-Asiatic,mute,nijo,Quantity,-,X,X,jati,.
lanki,ʋ̄xı,Noun,color,color,to be a color,color-related,Swahili rangi,,Niger-Congo,kule,poja,Noun,-,X,X,,.
lansa,ʋ̄ɤ,Verb,to launch (a projectile),a projectile,to launch/throw/shoot,projectile-like/launchable/throwable/shootable,Portuguese lançar,/lɐ̃ˈsaɾ/,Romance,-,-,Verb,-,X,X,,.
lantan,ʋ̄ʌ̄,Verb,to ride (a ride),a ride,to ride,ride-like/rideable,Persian راندن rândan,[ɹɒːn̪.d̪ǽn],Indo-Iranian,ato,ato,Verb,-,X,X,,.
le,ʋȷ,Grammar,verb marker,-,-,-,-,-,Misc,li,li,Grammar,-,X,X,,.
lekin,ʋȷx̄ı,Connector,but,-,-,-,Hindi लेकिन lekin,[l̪eː.kɪ̃n̪],Indo-Iranian,lekin,lekin,Connector,-,.,.,un,.
len,ʋ̄ȷ,Modifier,strong,strength/force,to be strong/forceful,strong/forceful,Thai แรง rɛɛng,/rɛːŋ˧/,Kra-Dai,wawa,pala,Modifier>,-,X,X,uli,.
lenka,ʋ̄ȷx,Noun,arm/hand,arm/hand,to be an arm/hand,arm/hand-related,Polish ręka,/ˈrɛŋ.ka/,Balto-Slavic,luka,luka,Noun,-,X,X,,.
leseka,ʋȷɤȷx,Noun,lattice/array,lattice/array/grid,to be a lattice/array/grid,lattice/array/grid-related,Macedonian решетка rešetka,[ˈrɛʃɛtka],Balto-Slavic,-,-,Noun,-,X,X,,.
lije,ʋıɂȷ,Modifier,related,relatedness/relation,to be related,related,French lié,/lje/,Romance,nata,nata,Modifier>,-,X,X,wi no lije,.
lijule,ʋıɂſʋȷ,Modifier,laughing,merriment/mirth,to be laughing/mirthed,laughing/mirthed,(Valencian) Catalan riure,/ˈriw.ɾe/,Romance,liso,liso,ModifierG,-,X,X,,.
lika,ʋıx,Verb,to write (text),text,to write,text-like/writable,Assamese লিখা likha,,Indo-Iranian,lika,lika,Verb,-,.,.,,.
lili,ʋıʋı,Noun,bump/pit/relief (surface-wise),bump/pit/relief (surface-wise),to be a bump/pit/relief (surface-wise),bump/pit/relief-related (surface-wise),Engish relief,/ɹɪˈliːf/,Germanic,unpa,unpa,Noun,-,X,X,,.
lima,ʋıɞ,Quantity,five,five,to be five,fifth,Ilocano lima,[ˈli.ma],Austronesian,lima,lima,Quantity,-,.,.,,.
limijen,ʋıɞıɂ̄ȷ,Noun,inside,inside region,to be the inside region,inside-related/inner,Mandarin 裡面 lǐmiàn,/li²¹⁴ mi̯ɛn⁴/,Sino-Tibetan,insa,sonsin,Noun,-,X,X,enteken,.
lipan,ʋıʜ̄,Modifier,absent,absence/nonexistence,to be absent/nonexistent,absent/nonexistent,Tagalog liban,[ˈli.bɐn],Austronesian,weka,sujan,Modifier0,-,X,X,se,.
lipu,ʋıʜſ,Noun,sheet,sheet/banner/flag/face (of a shape),to be a sheet/banner/flag/face (of a shape),sheet/banner/flag-related,Finnish lippu,[ˈlipːu],Uralic,lipu,lipu,Noun,-,.,.,,.
lisi,ʋıɤı,Modifier,smooth,smoothness/bluntness,to be smooth/blunt,smooth/blunt,French lisse,/lis/,Romance,lentu,lentu,Modifier0,-,X,X,asa,.
lito,ʋıʌʃ,Modifier,empty/incomplete/unstarted; prospective/antiperfect aspect modifier,emptiness/incompleteness/unstartedness,to be empty/incomplete/unstarted,empty/incomplete/unstarted,Nepali रित्तो ritto,[rit̪̚t̪o],Indo-Iranian,posi,posi,Modifier-,-,X,X,mulu,.
lo,ʋʃ,Modifier,moving,movement,to be moving/to go,moving,Yoruba lọ,/lɔ̄/,Niger-Congo,tawa,awa,Modifier>,-,X,X,patun,.
loku,ʋʃxſ,Quantity,six,six,to be six,sixth,Japanese 六 roku,[ɾo̞kɯ̟],Japonic,sesi,sesi,Quantity,-,X,X,,.
loso,ʋʃɤʃ,Modifier,bad,badness,to be bad,bad,Bulgarian лош loš,[ɫɔʃ],Balto-Slavic,ike,loka,Modifier-,-,X,X,tope,.
luka,ʋſx,Modifier,interrupted; pausative aspect modifier,interruption,to be interrupted,interrupted,Hindi रुका rukā (perfective of रुकना ruknā),[ɾʊ.käː],Indo-Iranian,pake,pake,ModifierG,-,X,X,conca/cunpu,.
lun,ʋ̄ſ,Grammar,causative modifier-forcing derivational marker,-,-,-,-,-,Misc,-,-,Particle,-,X,X,,.
lunti,ʋ̄ſʌı,Modifier,green,greenness,to be green,green,Tagalog lungti,[lʊnˈtiʔ],Austronesian,peta,peta,ModifierG,-,X,X,,.
luwa,ʋſɕ,Noun,spirit/ghost,spirit/ghost/soul,to be a spirit/ghost/soul,spirit/ghost/soul-related,Ashkenazi Hebrew רוּחַ rúakh,/ˈru.aχ/,Afroasiatic,-,-,Noun,-,X,X,,.
maciko,ɞɛıxʃ,Modifier,magical,magicalness/magic,to be magical,magical,Italian magico,/ˈma.d͡ʒi.ko/,Romance,-,-,ModifierG,matiko,X,X,satalan,.
macun,ɞɛ̄ſ,Noun,cream/paste,cream/paste,to be cream/paste,cream/paste-related,Arabic معجون maʕjūn,/maʕ.d͡ʒuːn/,Afroasiatic,ko,masa,Noun,-,X,X,,.
makan,ɞx̄,Verb,to consume (food),food,to eat/drink/consume,food-like/edible,Indonesian makan,/ma.kan/,Austronesian,moku,kana,Verb,-,X,X,,.
maku,ɞxſ,Modifier,male,maleness/masculinity,to be male/masculine,male/masculine,Romanian mascul,[masˈkul],Romance,mije,tane,ModifierG,-,X,X,kike,.
malo,ɞʋʃ,Noun,up,top/above region,to be the top/above region,top-related/above/up,Luo malo,,Nilo-Saharan,wi,wi,Noun,-,X,X,kali,.
mamaki,ɞɞxı,Modifier,surprised,surprise/shock,to be surprised/shocked,surprised/shocked,Hausa mamaki,/màː.máː.kìː/,Afroasiatic,walaja,walaja,ModifierG,-,X,X,,.
mani,ɞƨı,Noun,money,money,to be money,money-related,English money,/ˈmʌni/,Germanic,mani,moni,Noun,-,.,X,,.
mata,ɞʌ,Noun,matter/material,matter/material,to be matter/a material,matter/material-related,Arabic مَادَّة mādda,/maːd.da/,Afroasiatic,-,-,Noun,-,X,X,,.
matija,ɞʌıɂ,Noun,middle,middle/center,to be the middle/center,middle/center-related,Sanskrit मध्य madhya,/məd̪ʱ.jᵊ/,Indo-Iranian,matija,matija,Noun,-,.,.,,.
matin,ɞʌ̄ı,Modifier,previous/prior; past tense modifier,previousness/priorness/past,to be previous/prior,previous/prior/past (time-wise),Arabic مَاضٍ māḍin,/maː.dˤin/,Afroasiatic,pisile,pisile,ModifierG,-,X,X,pote,.
matuwa,ɞʌſɕ,Noun,parent,parent,to be a parent,parent-related,Māori matua,,Austronesian,mama,matu,Noun,-,X,X,menwo,.
meja,ɞȷɂ,Noun,cat,cat/feline,to be a cat/feline,cat/feline-related,Onomatopoeia,-,Misc,meja,meja,Noun,-,.,.,,.
men,ɞ̄ȷ,Preposition,subject marker,-,-,-,-,-,Misc,-,-,Grammar,-,X,X,in,.
menu,ɞȷƨſ,Quantity,less,less,to be less,less,Portuguese menos,/ˈme.nuʃ/,Romance,kata,kata,Quantity,-,X,X,mese,.
